"Name","Won","Lost","Draw"
"Arsenal FC","14","10","14"
"Chelsea FC","20","12","6"
"Burnley FC","15","14","9"
"Manchester City","26","9","3"
"Manchester United","18","8","12"
"Leicester City","18","12","8"
"Liverpool FC","32","3","3"
"Tottenham Hotspur","16","11","11"
"West Ham United","10","19","9"
"Everton FC","13","15","10"
"Norwich City","5","27","6"
"Aston Villa","9","21","8"
"Wolverhampton Wanderers","15","9","14"
"Crystal Palace","11","17","10"
"Southampton","15","16","7"
"Newcastle United","11","16","11"
"Brighton & Hove Albion","9","15","14"
"Bournemoth","9","22","7"
"Watford","8","20","10"
"Sheffield United","14","12","12"
